COD_UF;COD_MUNICIPIO;COD_DISTRITO;SITUACAO;NOM_TIPO_SEGLOGR;NOM_SEGLOGR;DSC_MODIFICADOR;LATITUDE;LONGITUDE;ALTITUDE;DSC_LOCALIDADE;COD_ESPECIE;CEP
31;09006;15;2;ESTRADA;DO MATO DENTRO;SN;-2.016.828.663.888.880;-4.424.302.163.888.880;806.0;CONCEICAO DE ITAGUA;3;35460000
31;09006;15;2;ESTRADA;DO MATO DENTRO;SN;-2.015.940.663.888.880;-4.424.307.833.333.330;763.0;CONCEICAO DE ITAGUA;3;35460000
31;09006;15;2;ESTRADA;DO MATO DENTRO;;-2.016.183;-4.424.574.663.888.880;764.0;CONCEICAO DE ITAGUA;3;35460000
31;09006;15;2;ESTRADA;DO MATO DENTRO;SN;-20.181.365;-44.245.428.305.555.500;843.0;QUINTAS DO RIO MANSO;3;35460000
31;09006;15;2;ESTRADA;DO MATO DENTRO;SN;-20.173.715;-4.423.818.330.555.550;811.0;CONCEICAO DE ITAGUA;3;35460000
31;09006;15;2;ESTRADA;DO MATO DENTRO;SN;-2.017.685.663.888.880;-44.235.153.333.333.300;835.0;CONCEICAO DE ITAGUA;3;35460000
31;09006;15;2;ESTRADA;DO MATO DENTRO;SN;-20.160.163.333.333.300;-44.237.363.333.333.300;761.0;CONCEICAO DE ITAGUA;3;35460000
31;09006;15;2;ALAMEDA;DO BOSQUE;SN;-20.174.345.000.000.000;-4.424.944.497.222.220;809.0;CONCEICAO DE ITAGUA;3;35460000
31;09006;15;2;RUA;JOSE NUNES DE CARVALHO;SN;-20.157.071.666.666.600;-4.425.646.163.888.880;780.0;CONCEICAO DE ITAGUA;3;35460000
31;09006;15;2;RUA;QUATRO;SN;-20.157.196.666.666.600;-4.424.547.330.555.550;753.0;BAIRRO RETIRO DO BRUMADO;3;35460000
31;09006;20;2;ESTRADA;PARA FAZENDA MAE DAGUA;SN;-2.018.638.663.888.880;-44.002.335;;CORREGO FERREIRA;3;35460000
31;09006;20;2;ESTRADA;PIEDADE A MARQUES;SN;-20.169.923.305.555.500;-44.033.681.638.888.800;;PIEDADE DO PARAOPEBA;3;35460000
31;09006;20;2;ESTRADA;PIEDADE A MARQUES;SN;-20.170.818.333.333.300;-4.403.754.830.555.550;;PIEDADE DO PARAOPEBA;3;35460000
31;09006;20;2;ESTRADA;PIEDADE A MARQUES;SN;-20.174.434.972.222.200;-44.035.156.666.666.600;861.0;PIEDADE DO PARAOPEBA;3;35460000
31;09006;20;2;ESTRADA;QUINTILIANO;SN;-20.184.813.333.333.300;-44.028.105;810.0;QUINTILIANO;3;35460000
31;09006;05;2;ESTRADA;PONTE DAS ALMORREMAS;SN;-20.162.995;-4.418.528.499.999.990;829.0;BRUMADINHO;3;35460000
31;09006;05;2;ESTRADA;DO PIRES;SN;-20.152.531.666.666.600;-44.177.618.305.555.500;731.0;BRUMADINHO;3;35460000
31;09006;15;2;RUA;ITAGUA;SN;-2.014.939;-4.422.246.663.888.880;767.0;BRUMADINHO;3;35460000
31;09006;20;1;ESTRADA;DE TERRA;SN;-20.248.741.666.666.600;-4.399.275.497.222.220;;SUZANA;3;35460000
31;09006;20;1;ESTRADA;DE TERRA;SN;-20.236.408.305.555.500;-439.971;908.0;SUZANA;3;35460000
31;09006;20;1;ESTRADA;SEM NOME DE TERRA;SN;-2.019.732;-4.401.560.333.333.330;;PIEDADE PARAOPEBA;3;35460000
